CIUDAD,DEPARTAMENTO,LAT,LNG
LETICIA,Amazonas,-4.2129211,-69.9425963
AMALFI,Antioquia,6.9070097,-75.0735908
ANDES,Antioquia,5.6556134,-75.8776753
APARTADO,Antioquia,7.8849011,-76.6227461
BARBOSA,Antioquia,6.4370185,-75.3313779
BELLO,Antioquia,6.334997,-75.5582665
CALDAS,Antioquia,6.0918609,-75.6356917
CAREPA,Antioquia,7.7984516,-76.7460389
CAUCASIA,Antioquia,7.9877579,-75.1983745
CHIGORODO,Antioquia,7.6129384,-76.638426
CIUDAD BOLIVAR,Antioquia,5.8500342,-76.0208666
COPACABANA,Antioquia,6.3461047,-75.5080262
EL CARMEN DE VIBORAL,Antioquia,6.0833063,-75.3353501
EL SANTUARIO,Antioquia,6.1221525,-75.2653958
ENVIGADO,Antioquia,6.1701348,-75.587415
FRONTINO,Antioquia,6.7721761,-76.1311575
GIRARDOTA,Antioquia,6.3773809,-75.4459762
GUARNE,Antioquia,6.2800171,-75.4426875
ITAGUI,Antioquia,6.1724352,-75.6093254
LA CEJA,Antioquia,5.9843083,-75.4475229
LA ESTRELLA,Antioquia,6.1576781,-75.6433878
MARINILLA,Antioquia,6.1736417,-75.3346548
MEDELLIN,Antioquia,6.2697324,-75.6025597
PUERTO BERRIO,Antioquia,6.4899205,-74.4020634
RIONEGRO,Antioquia,6.1536166,-75.3741691
SABANETA,Antioquia,6.1515344,-75.6153715
SANTA ROSA DE OSOS,Antioquia,6.6453171,-75.4614576
SANTAFE DE ANTIOQUIA,Antioquia,6.5564008,-75.8277746
SONSON,Antioquia,5.7106659,-75.3103532
TURBO,Antioquia,8.0952972,-76.7289956
URRAO,Antioquia,6.3168685,-76.1344983
YARUMAL,Antioquia,6.9625927,-75.4165529
ARAUCA,Arauca,7.0851994,-70.7577762
SARAVENA,Arauca,6.9564869,-71.8754665
TAME,Arauca,6.4615184,-71.7314377
BARRANQUILLA,Atlantico,10.9938599,-74.7926118
GALAPA,Atlantico,10.8994371,-74.8864007
PUERTO COLOMBIA,Atlantico,10.9891292,-74.955414
SABANAGRANDE,Atlantico,10.8040818,-74.774451
SOLEDAD,Atlantico,10.9149593,-74.7821054
ARJONA,Bolivar,10.2534632,-75.3427213
CARTAGENA,Bolivar,10.4265566,-75.5441671
EL CARMEN DE BOLIVAR,Bolivar,9.7169432,-75.1221847
