DIVIPO,NIT,ORGANISMO,CATEGORIA,CIUDAD,DEPARTAMENTO,ESTADO
50006000,90008133141,ACACIAS-META (MCPAL ) MCPAL,A,ACACIAS,Meta,ACTIVO
20011000,,AGUACHICA-CESAR (MCPAL) MCPAL,A,AGUACHICA,Cesar,ACTIVO
17013000,80011508201,AGUADAS-CALDAS (MCPAL) MCPAL,A,AGUADAS,Caldas,ACTIVO
85010001,89209921661,AGUAZUL-CASANARE (DPTAL ) DPTAL,A,AGUAZUL,Casanare,ACTIVO
73026001,80011367271,ALVARADO-TOLIMA (DPTAL ) DPTAL,A,ALVARADO,Tolima,ACTIVO
5031000,8909815180,AMALFI-ANTIOQUIA (MCPAL) MCPAL,A,AMALFI,Antioquia,ACTIVO
76036000,89190044341,ANDALUCIA-VALLE (MCPAL) MCPAL,A,ANDALUCIA,Valle del Cauca,ACTIVO
5034000,80011468571,ANDES-ANTIOQUIA (MCPAL) MCPAL,A,ANDES,Antioquia,ACTIVO
17042000,,ANSERMA-CALDAS (MCPAL) MCPAL,A,ANSERMA,Caldas,ACTIVO
5045000,83006669531,APARTADO-ANTIOQUIA (MCPAL) MCPAL,A,APARTADO,Antioquia,ACTIVO
47053001,80010392061,ARACATACA-MAGDALENA (DPTAL ) DPTAL,A,ARACATACA,Magdalena,ACTIVO
17050001,,ARANZAZU - CALDAS (DEPTAL) DEPTAL,A,ARANZAZU,Caldas,ACTIVO
81001001,80011486951,ARAUCA-ARAUCA (DPTAL) DPTAL,A,ARAUCA,Arauca,ACTIVO
13052000,,ARJONA-BOLIVAR (MCPAL) MCPAL,A,ARJONA,Bolivar,ACTIVO
63001000,89000046431,ARMENIA-QUINDIO (MCPAL) MCPAL,A,ARMENIA,Quindio,ACTIVO
73055001,,ARMERO GUAYABAL TOLIMA (DEPTAL) DEPTAL,A,ARMERO,Tolima,ACTIVO
5079000,89098044571,BARBOSA-ANTIOQUIA (MCPAL) MCPAL,A,BARBOSA,Antioquia,ACTIVO
68077000,80011493851,BARBOSA-SANTANDER (MCPAL) MCPAL,A,BARBOSA,Santander,ACTIVO
68081000,89027094831,BARRANCABERMEJA-SANTANDER (MCPAL) MCPAL,A,BARRANCABERMEJA,Santander,ACTIVO
8001000,8901020181,BARRANQUILLA-ATLANTICO (MCPAL) MCPAL,A,BARRANQUILLA,Atlantico,ACTIVO
5088000,89098011211,BELLO-ANTIOQUIA (MCPAL) MCPAL,A,BELLO,Antioquia,ACTIVO
19100000,80009596121,BOLIVAR-CAUCA (MCPAL) MCPAL,A,BOLIVAR,Cauca,ACTIVO
20060000,90004054011,BOSCONIA-CESAR (MCPAL) MCPAL,A,BOSCONIA,Cesar,ACTIVO
68001000,89020410911,BUCARAMANGA-SANTANDER (MCPAL) MCPAL,A,BUCARAMANGA,Santander,ACTIVO
76109000,80011484661,BUENAVENTURA-VALLE (MCPAL) MCPAL,A,BUENAVENTURA,Valle del Cauca,ACTIVO
52110001,,BUESACO-NARIÑO (DPTAL ) DPTAL,A,BUESACO,Narino,ACTIVO
76122000,80011484801,CAICEDONIA-VALLE (MCPAL) MCPAL,A,CAICEDONIA,Valle del Cauca,ACTIVO
63130000,8900004414,CALARCA-QUINDIO (MCPAL) MCPAL,A,CALARCA,Quindio,ACTIVO
5129000,89098044711,CALDAS-ANTIOQUIA (MCPAL) MCPAL,A,CALDAS,Antioquia,ACTIVO
76001000,8903114250,CALI-VALLE (MCPAL) MCPAL,A,CALI,Valle del Cauca,ACTIVO
19142000,8915012927,CALOTO-CAUCA (MCPAL) MCPAL,A,CALOTO,Cauca,ACTIVO
41132001,80011500531,CAMPOALEGRE-HUILA (DPTAL) DPTAL,A,CAMPOALEGRE,Huila,ACTIVO
76130000,80020807731,CANDELARIA-VALLE (MCPAL) MCPAL,A,CANDELARIA,Valle del Cauca,ACTIVO
25151001,83003175701,CAQUEZA-CUNDINAMARCA (DPTAL) DPTAL,A,CAQUEZA,Cundinamarca,ACTIVO
25151001,83003175701,CAQUEZA-CUNDINAMARCA (DPTAL) DPTAL,A,CAQUEZA,Cundinamarca,ACTIVO
5147000,89009853168,CAREPA-ANTIOQUIA (MCPAL) MCPAL,B,CAREPA,Antioquia,ACTIVO
13244000,8001150995,CARMEN DE BOLIVAR-BOLIVAR (MCPAL) MCPAL,A,EL CARMEN DE BOLIVAR,Bolivar,ACTIVO
13001000,90017526751,CARTAGENA-BOLIVAR (MCPAL) MCPAL,A,CARTAGENA,Bolivar,ACTIVO
76147000,89190049321,CARTAGO-VALLE (MCPAL) MCPAL,A,CARTAGO,Valle del Cauca,ACTIVO
5154000,89090644521,CAUCASIA-ANTIOQUIA (MCPAL) MCPAL,A,CAUCASIA,Antioquia,ACTIVO
23162000,9001855934,CERETE-CORDOBA (MCPAL) MCPAL,A,CERETE,Cordoba,ACTIVO
